Substance,EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,ABW,Aruba,0.2591233335,0.2837273098,0.3110329923,0.2782714789,0.281836186,0.2954951211,0.1951679259,0.2785049121,0.2734566105,0.2851173048,0.2842925424,0.2803625523,0.2885170403,0.3696975479,0.3578718297,0.3699360105,0.3555420445,0.3528215982,0.3259510126,0.3973997057,0.3947356079,0.3630397391,0.4687153892,0.4323027568,0.4397504705,0.4226374957,0.4063515405,0.3210073015,0.3247343699,0.3413875942,0.3625433996,0.3456046828
CO2,AFG,Afghanistan,0.09500474653,0.1018425564,0.06117926701,0.07818253313,0.09617571675,0.0569224665,0.05890483334,0.06136379617,0.06478545808,0.06596344951,0.05772659052,0.05630269036,0.03663748516,0.03651016591,0.03225375695,0.03986883578,0.04230011832,0.05169717153,0.09888400035,0.1334689415,0.1415731251,0.2077896134,0.1582997376,0.1242239692,0.1142600963,0.1174804984,0.1049101261,0.1090221552,0.1204622615,0.1028891269,0.106682959,0.1088202264
CO2,AGO,Angola,0.1655795258,0.1719766907,0.1879616889,0.2476145017,0.2314315939,0.2268411129,0.2416610759,0.2356636206,0.2338002286,0.2421106992,0.2152483119,0.2025780614,0.1754021125,0.1853220601,0.1705328586,0.1329423282,0.1248363139,0.1128476996,0.1147745459,0.1244240104,0.1278471871,0.1283510734,0.119848904,0.1313608216,0.136966358,0.1454468664,0.1405844316,0.1198688218,0.111792729,0.1185606753,0.1142150605,0.1202798178
CO2,AIA,Anguilla,0.02468095622,0.0397916662,0.03137697067,0.03809806408,0.04894520834,0.06094660407,0.06249492579,0.05257090361,0.04193744202,0.03647135018,0.05071809291,0.05243506458,0.04023582344,0.04416926,0.03724668843,0.03127560977,0.02768351906,0.02259313362,0.02772300812,0.05115081175,0.06289121786,0.06822272543,0.07378514745,0.09210522739,0.09675950929,0.1122141202,0.1256093231,0.1485547895,0.1877219526,0.1222081209,0.1077312498,0.1201657049
CO2,AIR,International Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,ALB,Albania,0.4193716666,0.3884917195,0.228264017,0.1958601956,0.1897770842,0.1481553711,0.1351229421,0.1175646764,0.1297023494,0.1838805366,0.1798437906,0.1766637066,0.1961309486,0.195258981,0.1939879277,0.1740163483,0.1627861268,0.1576245872,0.1451120315,0.1435491221,0.1474426849,0.1561742333,0.1404650139,0.1462774213,0.1533864048,0.1436693084,0.1306694189,0.1457054235,0.1392386589,0.129298628,0.1251438016,0.1124564687
CO2,ANT,Curaçao,0.9404645499,0.9525932562,0.9764116682,0.791876313,0.8659393105,0.8417846738,0.8225989984,1.548295368,1.53853604,1.460972043,1.480520834,1.500764842,1.430499538,1.430620568,1.490768317,1.561249427,1.512379583,1.603312045,1.552981566,1.463764213,1.083446494,1.380070548,1.246621557,1.147737399,1.303708973,1.313077047,1.13464302,0.9185793296,0.7463260264,0.5934386855,0.6027047862,0.6699303942
CO2,ARE,United Arab Emirates,0.2792204427,0.3149268018,0.2943737242,0.3065139036,0.3157096328,0.3156550687,0.3118192659,0.3003730807,0.3072512206,0.307872158,0.2755742592,0.3111188065,0.3105491338,0.3000420453,0.2894558461,0.2939164501,0.2779717463,0.2904952262,0.3370605972,0.3581151559,0.3665452633,0.3513511551,0.3546408775,0.3549170686,0.3427549388,0.3437104862,0.3414037021,0.3274099731,0.2913583863,0.2987964245,0.3024295573,0.3021393595
CO2,ARG,Argentina,0.2181802154,0.210533937,0.1993607905,0.1906768835,0.1861744822,0.1951427454,0.2020221091,0.1933706208,0.195558755,0.2059173007,0.2030343106,0.2038472578,0.215216462,0.2195407278,0.2231815537,0.2100259688,0.2058830743,0.1996219629,0.1979676739,0.193735357,0.1886037559,0.1868099914,0.1905246797,0.1922362079,0.1950027859,0.1931748281,0.1952666162,0.1869064472,0.189734187,0.1847198519,0.1923486765,0.1918402997
CO2,ARM,Armenia,1.129504492,1.332332087,1.168397237,0.6030359179,0.3185362038,0.373899926,0.2611532446,0.3242284362,0.3136670766,0.272686053,0.2948104673,0.2738994453,0.2074719686,0.2032426915,0.1976078812,0.2055392764,0.18311099,0.1861569322,0.1906389038,0.1783825208,0.1673056311,0.1822575928,0.1959968506,0.1796400159,0.1731269604,0.1634745406,0.1554591066,0.1528715166,0.1537762594,0.1549724401,0.1705229148,0.1712692847
