Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,ABW,Aruba,1.38624924,1.3776783,1.594509866,1.653805861,1.471866374,1.733328795,1.585202665,1.744450205,1.774655732,1.681062186,1.698795987,1.710106776,1.538027559,1.578514778,1.826508594,1.778965907,1.7598861,1.852034266,6.920009336,8.473765328,8.444982756,9.601112677,10.55415985,9.535906616,9.878694954,10.14207324,6.54374541,9.732647029,9.542670494,9.877208494,10.38318192,10.4344317,10.40063853,13.1951743,13.46439694,13.68536471,13.19699987,13.44981518,12.63669749,13.59320726,13.10522161,12.41183481,15.77781276,15.39621306,15.56653039,15.40984814,15.06023117,12.49675039,12.75285672,13.07983524,10.75117405,11.90779307
CO2,AFG,Afghanistan,0.1563478085,0.1522029754,0.1463712147,0.1448987683,0.1784321058,0.1618410351,0.1479634668,0.1751561837,0.1466087824,0.1552760103,0.1521895106,0.1738230291,0.1819029263,0.2429581448,0.2680801345,0.3503465049,0.3405466467,0.2846671342,0.2684739272,0.2468153013,0.2376045346,0.2138644027,0.1213270247,0.1077545745,0.09617954053,0.08072386787,0.07592072743,0.07274370472,0.07143934107,0.06728310279,0.05373003764,0.0473729261,0.04482204051,0.04632459486,0.03968887866,0.05249694158,0.05681781438,0.07689309358,0.1490579687,0.2380327176,0.2807402337,0.4011935352,0.3335200124,0.2673724653,0.2447124386,0.2478576186,0.2203345555,0.2292494211,0.2503767429,0.2172249197,0.2150500739,0.2145158302
CO2,AGO,Angola,1.321143427,1.232564643,1.464237963,1.562567161,1.583251567,1.422772787,0.9261339872,1.482940463,1.699973611,1.643735439,1.606068605,1.433906992,1.335325128,1.3342599,1.302868457,1.332900862,1.308441588,1.297397115,1.303219817,1.282484654,0.9282577878,0.9440498776,0.9404752902,0.9112149109,0.8357827004,0.9138474088,1.074295282,1.093550245,1.105374341,1.13696627,1.010579516,0.9594434315,0.9125932003,0.9586235577,0.9443564374,0.8170956572,0.8259077541,0.8213824534,0.8962119077,0.9455800162,0.9830826921,0.9853846204,0.9637651681,1.070159409,1.129542329,1.169955097,1.065183337,0.8773068419,0.7814537974,0.7967264377,0.7023353395,0.7213683012
CO2,AIA,Anguilla,0.338636843,0.3361222546,0.3482161178,0.3216844718,0.3563161055,0.3898069818,0.365537124,0.3794025592,0.4324956997,0.4786251569,0.6584057568,0.9984620992,1.065399625,0.9311654268,0.8853992332,0.5510095321,0.4588576176,0.8514073424,0.7654096519,0.7719394704,0.7336722408,0.8746180359,0.8799616572,1.074055265,1.376876363,1.672685679,1.611984908,1.316485681,1.180201354,1.088745706,1.403029242,1.399116999,0.9287474726,1.173597682,1.091813769,1.080995127,0.9929817413,0.9395231273,1.142850089,1.486248277,1.743372513,1.864243055,1.841830814,1.954018602,1.929321577,1.916735754,1.919525934,1.949322227,1.875905235,1.817582255,1.490511523,1.693914681
CO2,AIR,International Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,ALB,Albania,2.23868497,2.186540808,2.439749126,2.142180905,2.255601364,2.24550874,2.347781932,2.461473212,2.65178795,3.017767135,3.007573546,2.583689419,2.607508784,2.73935863,2.903018118,2.71935416,2.678961341,2.656814515,2.563830409,2.426730015,2.027462771,1.354729588,0.7467252414,0.7131975452,0.7600980761,0.6797748718,0.6795707335,0.5265613347,0.6300335698,1.004521876,1.048563392,1.115287968,1.295759019,1.364827001,1.436842511,1.368349465,1.366628112,1.416580603,1.417057459,1.463002221,1.570105212,1.713501383,1.566529269,1.648296639,1.757988291,1.681673219,1.578590236,1.824770826,1.811292391,1.714732571,1.599886479,1.559481772
CO2,ANT,Curaçao,101.080206,99.82054997,95.93769455,105.0445362,94.37847445,67.88086335,72.23137397,73.38017913,62.2765476,61.94791383,58.65527056,54.28204074,49.05052994,45.67449471,44.56990525,29.94042984,28.6574187,26.57657366,23.34015996,20.09342904,18.20224001,18.93601317,19.77148114,16.26348579,18.39118498,18.59352915,19.04353497,38.01881683,40.03161318,40.56948682,42.92821872,43.81679379,42.4024354,42.79664607,44.64149223,46.61834226,45.02653755,47.61323645,45.70032235,41.59486988,30.04580873,37.74289746,33.53808546,30.24949463,33.59672671,33.61486176,28.54746642,22.54575884,17.80588982,13.59926451,11.19963973,12.41051265
CO2,ARE,United Arab Emirates,82.53777776,91.11685358,83.29955678,90.15244073,76.31265704,66.10260812,70.39060322,61.26828739,61.69482404,39.76103499,39.44884028,33.94374254,32.00328096,29.37106237,37.92053763,37.26174795,34.13424674,33.37492144,30.8054766,32.4318545,30.58936439,32.85730788,29.96649479,29.86720869,31.17207237,31.61990323,31.47612337,31.23691288,30.48586625,29.85589007,28.05812644,30.46799567,29.54280223,29.10738061,28.16262154,26.76603698,24.29041941,22.71733469,23.84582053,21.58920528,20.81120118,20.34240712,20.90402986,21.71922755,21.74398795,22.69921521,22.93087528,22.20029559,19.6944677,20.58325165,19.29427742,19.47337626
CO2,ARG,Argentina,3.684171383,3.64293044,3.660443626,3.716216834,3.665004616,3.506788824,3.62687934,3.722946864,3.641668486,3.790643241,3.645159167,3.476383123,3.394343722,3.454322592,3.386044297,3.111225046,3.303131004,3.434947351,3.504813455,3.346949976,3.075636409,3.193611005,3.219417298,3.28737949,3.353123222,3.372036986,3.639651256,3.72281131,3.865920977,3.889259738,3.762519199,3.571140485,3.322503792,3.64833072,3.999946111,4.053731421,4.248675663,4.444328194,4.539505529,4.136810468,4.389340432,4.560717927,4.555567913,4.658011953,4.558999455,4.592986871,4.501596747,4.387919594,4.297158448,4.061309645,3.776351198,4.116435673
CO2,ARM,Armenia,4.309559011,4.213269655,4.416475123,4.700027315,4.971067445,5.351510262,5.417868494,5.516346965,5.620389065,5.740738834,6.003748319,6.035235692,6.109643629,6.05454175,5.997234634,5.978322928,5.921493652,5.893059414,5.812835809,5.663662386,5.850909014,6.151302018,3.196494716,1.540262595,0.8782792234,1.124781362,0.8445859087,1.095546722,1.146160168,1.035845351,1.193469168,1.222803224,1.054299068,1.183677937,1.278991021,1.525075978,1.549836107,1.807014627,1.995103279,1.614515311,1.553635264,1.773095078,2.039547413,1.923291235,1.911890115,1.856211884,1.763969832,1.86112204,1.967002981,2.131103811,2.169962306,2.302654252
